candidate_key,candidate,state,office,status,current_active,proposed_active,reason
Arizona|Governor|Andy Biggs,Andy Biggs,Arizona,Governor,GOP Primary Frontrunner,,In,status indicates candidate is still active/in the field
Arizona|Governor|David Schweikert,David Schweikert,Arizona,Governor,GOP Primary Candidate,,In,status indicates candidate is still active/in the field
Arizona|Governor|Katie Hobbs,Katie Hobbs,Arizona,Governor,Incumbent,,In,status indicates candidate is still active/in the field
California|Governor|Antonio Villaraigosa,Antonio Villaraigosa,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Chad Bianco,Chad Bianco,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Eric Swalwell,Eric Swalwell,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Ian Calderon,Ian Calderon,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Katie Porter,Katie Porter,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Matt Mahan,Matt Mahan,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Steve Hilton,Steve Hilton,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Tom Steyer,Tom Steyer,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Tony Thurmond,Tony Thurmond,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
California|Governor|Xavier Becerra,Xavier Becerra,California,Governor,Gubernatorial Candidate,,In,status indicates candidate is still active/in the field
Colorado|Senate|Janak Joshi,Janak Joshi,Colorado,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Colorado|Senate|John Hickenlooper,John Hickenlooper,Colorado,Senate,Incumbent,,In,status indicates candidate is still active/in the field
Colorado|Senate|Julie Gonzales,Julie Gonzales,Colorado,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Colorado|Senate|Mark Baisley,Mark Baisley,Colorado,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Florida|Governor|Byron Donalds,Byron Donalds,Florida,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Florida|Governor|David Jolly,David Jolly,Florida,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Florida|Governor|James Fishback,James Fishback,Florida,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Florida|Governor|Jay Collins,Jay Collins,Florida,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Florida|Governor|Jerry Demings,Jerry Demings,Florida,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Florida|Governor|Paul Renner,Paul Renner,Florida,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Brad Raffensperger,Brad Raffensperger,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Burt Jones,Burt Jones,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Chris Carr,Chris Carr,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Geoff Duncan,Geoff Duncan,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Gregg Kirkpatrick,Gregg Kirkpatrick,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Jason Esteves,Jason Esteves,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Keisha Lance Bottoms,Keisha Lance Bottoms,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Governor|Michael Thurmond,Michael Thurmond,Georgia,Governor,Candidate,,In,status indicates candidate is still active/in the field
Georgia|Senate|Buddy Carter,Buddy Carter,Georgia,Senate,GOP Primary Candidate,,In,status indicates candidate is still active/in the field
Georgia|Senate|Derek Dooley,Derek Dooley,Georgia,Senate,GOP Primary Candidate,,In,status indicates candidate is still active/in the field
Georgia|Senate|Jon Ossoff,Jon Ossoff,Georgia,Senate,Incumbent,,In,status indicates candidate is still active/in the field
Georgia|Senate|Mike Collins,Mike Collins,Georgia,Senate,GOP Primary Candidate,,In,status indicates candidate is still active/in the field
Illinois|Senate|Don Tracy,Don Tracy,Illinois,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Illinois|Senate|Juliana Stratton,Juliana Stratton,Illinois,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Illinois|Senate|Raja Krishnamoorthi,Raja Krishnamoorthi,Illinois,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Illinois|Senate|Robin Kelly,Robin Kelly,Illinois,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Iowa|Senate|Nathan Sage,Nathan Sage,Iowa,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Maine|Senate|Graham Platner,Graham Platner,Maine,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Maine|Senate|Janet Mills,Janet Mills,Maine,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Maine|Senate|Susan Collins,Susan Collins,Maine,Senate,Incumbent,,In,status indicates candidate is still active/in the field
Maryland|Governor|John Myrick,John Myrick,Maryland,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
Maryland|Governor|Wes Moore,Wes Moore,Maryland,Governor,Incumbent,,In,status indicates candidate is still active/in the field
Massachusetts|Senate|Ed Markey,Ed Markey,Massachusetts,Senate,Incumbent,,In,status indicates candidate is still active/in the field
Massachusetts|Senate|John Deaton,John Deaton,Massachusetts,Senate,Primary Candidate,,In,status indicates candidate is still active/in the field
Massachusetts|Senate|Seth Moulton,Seth Moulton,Massachusetts,Senate,Primary Challenger,,In,status indicates candidate is still active/in the field
Michigan|Governor|Jocelyn Benson,Jocelyn Benson,Michigan,Governor,Dem Primary Frontrunner,,In,status indicates candidate is still active/in the field
Michigan|Governor|John James,John James,Michigan,Governor,GOP Primary Frontrunner,,In,status indicates candidate is still active/in the field
Michigan|Governor|Mike Duggan,Mike Duggan,Michigan,Governor,Candidate,,In,status indicates candidate is still active/in the field
Michigan|Senate|Abdul El-Sayed,Abdul El-Sayed,Michigan,Senate,Dem Primary Candidate,,In,status indicates candidate is still active/in the field
Michigan|Senate|Haley Stevens,Haley Stevens,Michigan,Senate,Dem Primary Candidate,,In,status indicates candidate is still active/in the field
Michigan|Senate|Mallory McMorrow,Mallory McMorrow,Michigan,Senate,Dem Primary Frontrunner,,In,status indicates candidate is still active/in the field
Michigan|Senate|Mike Rogers,Mike Rogers,Michigan,Senate,Nominee,,In,status indicates candidate is still active/in the field
Minnesota|Governor|Amy Klobuchar,Amy Klobuchar,Minnesota,Governor,Primary Candidate,,In,status indicates candidate is still active/in the field
