change_id,candidate_key,old_verdict,new_verdict,confidence_codex,reasoning_codex,confidence_claude,reasoning_claude
672,Alabama|House AL-04|Robert Aderholt,naughty,nuanced,82,"Based on the single direct AI-related item, Aderholt has at least some affirmative engagement with AI through defense innovation, which does not support a clearly anti-safety or anti-governance characterization. The evidence is thin and not strongly pro-safety either, so 'nuanced' fits better than 'naughty' but with only moderate-high confidence.",72,"Aderholt's only documented AI-related activity is promoting AUKUS defense partnerships that include AI and autonomy, which reflects strategic/defense interest rather than opposition to AI safety—making 'naughty' an overreach. However, the single thin evidence record doesn't positively establish a mixed governance profile either, so 'nuanced' fits better than 'naughty' but the case rests on absence of evidence rather than affirmative mixed signals."
1296,Alabama|Governor|Tommy Tuberville,no_record,nuanced,80,"The direct evidence shows Tuberville does have a meaningful AI record, so ""no_record"" is likely too weak. But that record is narrow and mixed, centered on military adoption, China/security concerns, and opposition to Biden-era AI export controls rather than a clearly pro-safety or anti-safety agenda, which fits ""nuanced.""",82,"Tuberville has multiple direct AI-related actions: co-signing a DeepSeek security inquiry letter, participating in a Senate AI Task Force promoting American AI leadership while opposing over-regulation, and opposing Biden's AI export controls — these constitute a meaningful if narrow AI record. The record is genuinely mixed (national security hawk, anti-regulation stance) rather than clearly pro-safety, making 'nuanced' more accurate than 'no_record', though the record is thin and competition-focused rather than substantively engaged with AI governance."
1881,Alabama|House AL-05|Andrew Sneed,no_record,nice,75,"The new verdict is probably correct because the AL Reporter interview is direct AI-related evidence that Sneed supports AI regulation in response to job displacement and related harms. The campaign energy policy is more AI-adjacent than clearly AI-governance-specific, so the case for ""nice"" is credible but not overwhelming.",55,"The AL Reporter interview provides a genuine AI-related signal — Sneed explicitly calls for AI regulation citing job displacement — which clearly moves the verdict away from no_record. However, the second piece of evidence (a federal grid impact fee for data centers) is energy/infrastructure policy rather than direct AI governance, making 'nice' a stretch; 'nuanced' might be more appropriate given the limited and indirect nature of the record."
1885,Alabama|House AL-06|Gary Palmer,no_record,nuanced,75,"The direct committee evidence shows Palmer has a meaningful AI-related record on energy supply, critical minerals, and China competition, so `no_record` is too weak. At the same time, those positions do not clearly map to either strong AI safety support or opposition, which makes `nuanced` the better fit.",80,"Palmer has a documented AI-related record through the House Oversight committee — backing nuclear energy for AI power demand and addressing China competition and domestic critical minerals — which is meaningfully more than no_record. However, this record is focused on competitiveness and energy supply rather than safety or governance, making nuanced the appropriate call rather than nice or naughty."
1201,Alabama|Senate|Jared Hudson,no_record,nuanced,70,"The described January 25, 2026 direct quote appears to be meaningful AI-related evidence, so `no_record` is likely no longer the best fit. But because the actual quote text and source details are not provided here, confidence in `nuanced` rather than another non-`no_record` verdict is only moderate.",55,"The new evidence row (change_id 1200) is described as a direct January 2026 quote supporting AI safeguards in a child exploitation context, which would justify moving from no_record to nuanced — but the actual content, URL, and source of that evidence are not shown, making it impossible to verify the claim. If the quote is genuine and substantive, nuanced is a reasonable fit for a single narrow AI-related position; however, absent the actual evidence fields, confidence remains uncertain."
1198,Alabama|Senate|Steve Marshall,no_record,nuanced,78,"The direct evidence shows Steve Marshall has taken at least two clear public positions on AI-related issues, so `no_record` is too weak. But the record is narrow and centered on security and child-protection enforcement rather than a broad AI governance agenda, which fits `nuanced`.",82,"Marshall has two concrete official actions involving AI — urging a ban on DeepSeek on government devices and demanding Meta halt an AI-enabled child exploitation feature — which constitute a real if narrow AI record. This is meaningfully more than 'no record,' and the actions reflect a security/child-safety framing rather than a broad pro-safety stance, making 'nuanced' a reasonable fit over 'nice.'"
1724,Alaska|House AK-AL|Nick Begich,no_record,nuanced,85,"The direct AI-related evidence shows Begich does have a meaningful AI record, so the old no_record verdict is no longer a good fit. A nuanced verdict is probably correct because the record appears mixed: he supports some guardrails and anti-abuse legislation while also stressing that regulation should not hinder U.S. competitiveness.",80,"Begich cosponsoring the AI PLAN Act (a concrete legislative action on AI-enabled risks) and publicly engaging on AI regulation in a podcast—supporting guardrails while cautioning against slowing U.S. competitiveness—clearly establishes a mixed record that fits 'nuanced' rather than 'no_record'. The only uncertainty is that the proposed podcast URL and AI PLAN Act cosponsor claim are pending verification, but the underlying logic of the verdict change is sound."
753,Arizona|Governor|Andy Biggs,no_record,nuanced,85,"The direct evidence shows Biggs has a meaningful AI-related record, so `no_record` is no longer a good fit. The record is not clearly pro-safety or anti-safety overall, making `nuanced` the better classification based on these mixed signals around AI growth, regulation, privacy, and AI-enabled crime.",82,"Three distinct evidence sources show Biggs has a meaningful AI record: backing AI infrastructure, engaging with state-level AI regulation at a congressional hearing, and chairing a subcommittee hearing on AI-enabled crime risks. This pattern of mixed engagement — pro-growth on AI but also focused on regulatory and crime concerns — clearly moves him out of 'no_record' and into 'nuanced'."
1309,Arizona|House AZ-01|John Trobough,no_record,nuanced,82,"The direct evidence shows John Trobough does have a meaningful AI-related record: he has publicly discussed AI in campaign messaging, authored an AI-focused op-ed, and referenced prior AI threat-detection work. That makes ""no_record"" hard to defend, while ""nuanced"" fits because the record is real but mostly pro-growth and national-security oriented rather than clearly aligned for or against AI safety governance.",72,"Trobough has a discernible AI-related record spanning an op-ed advocating AI sandbox/light regulation, a campaign claim about beating China in AI, and an interview citing early AI threat-detection work — enough to move beyond no_record. However, this record is pro-growth/national-security framing without clear safety or governance positions, making nuanced a reasonable fit, though the evidence quality depends on whether the cited sources actually contain these claims."
1313,Arizona|House AZ-01|Jonathan Treble,no_record,nuanced,78,"The proposed replacement evidence describes a direct campaign statement supporting responsible AI development, accountability, and safety guardrails, which is enough to move this candidate out of no_record. Because the record appears limited to a single general statement rather than a broader track record, nuanced is more defensible than a stronger verdict.",55,"The proposed change hinges entirely on unverified content from a campaign issues subpage — the original evidence explicitly found no AI policy on the same campaign site, and the new claim of 'responsible AI rules and safety guardrails' language cannot be confirmed without visiting the URL. If the issues page content is as described, 'nuanced' would be appropriate, but the shift from a confirmed negative finding to a specific positive claim warrants skepticism without independent verification."
1302,Arizona|House AZ-01|Joseph Chaplik,no_record,nuanced,70,"If the two pending Arizona Legislature additions are accurate, they establish a meaningful AI-related record, so ""no_record"" would no longer fit and ""nuanced"" is probably the better verdict. Confidence is not higher because the direct bill details themselves are not fully shown here, so the strength and direction of that record cannot be independently weighed beyond the summary.",55,"The proposed new evidence (two Arizona Legislature AI bills where Chaplik is a cosponsor) would justify upgrading from no_record to nuanced if verified, since cosponsoring AI deepfake election and AI privileged-communications legislation constitutes a real but limited and ideologically mixed record. However, the new evidence rows (change_ids 1300 and 1301) are missing their Source_Description and URL fields in this context, so the underlying bill citations cannot be verified here — confidence is moderate pending confirmation that the legislative sources are accurate."
