Domain,Candidate,Current_Descriptions,Suggested_Description
adams.house.gov,Alma Adams,Condemned access to sensitive Social Security records by unelected private actors and framed mass data access as a privacy violation,Alma Adams (U.S. House Website)
aderholt.house.gov,Robert Aderholt,Promoted defense innovation partnerships that explicitly include artificial intelligence and autonomy but not a broader AI governance framework,Robert Aderholt (U.S. House Website)
ag.nv.gov,Aaron Ford,"As attorney general, Ford urged Congress to study AI harms to children and expand protections against AI-generated child sexual abuse material | Ford sued MediaLab.AI and Kik over harms to Nevada youth",
aguilar.house.gov,Pete Aguilar,Current House and campaign materials did not show a substantive AI policy or AI regulation record in this race after broader search,Pete Aguilar (U.S. House Website)
ansari.house.gov,Yassamin Ansari,Introduced the AI Impersonation Prevention Act to prohibit malicious AI impersonation of federal officials with guardrails and accountability | Said AI companies are using money in politics to punish candidates who support AI regulation and argued for stronger regulation to protect jobs and democracy,Yassamin Ansari (U.S. House Website)
apps.oregon.gov,Tina Kotek,"Directed $10M in Oregon CHIPS Act funding for AI/semiconductor workforce development and signed MOU with NVIDIA to deploy AI Ambassador Program across Oregon colleges (April 2025) | Oregon AI Action Plan announced (Feb 2025) — five strategic areas including governance structures, privacy/security measures, and workforce readiness; established via Executive Order 23-26",
artificialintelligencecaucus-beyer.house.gov,Henry Cuellar,Member of the House Artificial Intelligence Caucus and public advocate for AI workforce and research investment in South Texas,Henry Cuellar (U.S. House Website)
artificialintelligencecaucus-beyer.house.gov,Mike Levin,Listed as a current member of the bipartisan House Artificial Intelligence Caucus,Mike Levin (U.S. House Website)
auchincloss.house.gov,Jake Auchincloss,Said Congress needs to get ahead of the curve on AI regulation and ethics while promoting responsible AI research and collaboration,Jake Auchincloss (U.S. House Website)
azgovernor.gov,Katie Hobbs,Launched Arizona's first AI Steering Committee (19 experts from govt/academia/industry) | Official launch of ACE Initiative to adopt AI and emerging technologies in Arizona government | Official legislative action update showing signature of SB 1359 on election deepfakes,
baird.house.gov,Jim Baird,Current IN-04 candidacy is clear; no AI policy or AI regulation position found,Jim Baird (U.S. House Website)
balderson.house.gov,Troy Balderson,No AI policy or AI regulation position found,Troy Balderson (U.S. House Website)
barragan.house.gov,Nanette Barragan,Introduced bipartisan legislation to improve public understanding of AI rights deepfakes workforce impacts and consumer protection | Introduced the HEAL AI Act to train medical students and residents in responsible AI deployment with explicit ethics and equity framing,Nanette Barragan (U.S. House Website)
barrett.house.gov,Tom Barrett,Voted for the July 3 2025 House bill that included the federal moratorium on state AI regulation,Tom Barrett (U.S. House Website)
baumgartner.house.gov,Michael Baumgartner,Introduced bill to codify Trump executive order and impose a five-year federal moratorium on new state and local AI regulation to prevent a patchwork of AI rules,Michael Baumgartner (U.S. House Website)
beatty.house.gov,Joyce Beatty,No AI policy or AI regulation position found,Joyce Beatty (U.S. House Website)
begich.house.gov,Nick Begich,Official congressional and campaign materials emphasize efficiency energy and transportation with no substantive AI policy or AI regulation position found after broader search,Nick Begich (U.S. House Website)
bennet.senate.gov,Michael Bennet,Bennet opposed Trump executive order blocking state AI laws and called for common-sense state safeguards | Bennet urged platforms and AI developers to label AI-generated content and limit misleading deepfakes,Michael Bennet (U.S. Senate Website)
benniethompson.house.gov,Bennie Thompson,Visited students participating in Hour of AI and emphasized that children should learn to use AI responsibly,Bennie Thompson (U.S. House Website)
beyer.house.gov,Don Beyer,"Introduced multiple AI and data-center bills, including measures on AI denials and electricity costs from AI data centers",Don Beyer (U.S. House Website)
bice.house.gov,Stephanie Bice,Backed legislation commissioning a report on using artificial intelligence to identify duplicative federal grant applications,Stephanie Bice (U.S. House Website)
bilirakis.house.gov,Gus Bilirakis,"Helped shepherd the TAKE IT DOWN Act through the House, explicitly supporting criminal penalties and takedown requirements for AI-generated non-consensual intimate deepfakes | Introduced the Kids Online Safety Act and framed digital harms to children as requiring platform safeguards and policy intervention in an AI-saturated online environment",Gus Bilirakis (U.S. House Website)
bilirakis.house.gov,Kathy Castor,"Co-led the House version of the Kids Online Safety Act, framing online platform and algorithmic harms to children as a policy problem requiring transparency and safeguards",Kathy Castor (U.S. House Website)
blackburn.senate.gov,Marsha Blackburn,"Authored TRUMP AMERICA AI Act with consumer duty-of-care, risk assessments, deepfake rules, and right to sue; includes child-safety carveouts; but prioritizes federal preemption over state protections and 'light touch' framing | Co-authored NO FAKES Act (2024): federal property right over AI-generated voice/likeness replicas, notice-and-takedown mechanism for deepfakes, platform liability for non-consensual digital replicas | Led Senate effort to strip 10-year federal AI moratorium from One Big Beautiful Bill; filed amendment with Collins/Markey/Cantwell; passed 99-1: ""This provision could allow Big Tech to continue to exploit kids, creators, and conservatives""",Marsha Blackburn (U.S. Senate Website)
blakemoore.house.gov,Blake Moore,Introduced AI-related bills on using AI to identify redundant regulations and to study rural impacts of AI data centers | Introduced AI-related bills to use AI to identify redundant regulations and streamline government | On his official site promoted streamlining permitting and energy development to expand rural AI data-center infrastructure.,Blake Moore (U.S. House Website)
blakemoore.house.gov,Jim Costa,Introduced bipartisan bill to study AI data-center impacts in rural America and utility costs,Jim Costa (U.S. House Website)
boebert.house.gov,Lauren Boebert,Publicly celebrated removal of the Biden AI export rule,Lauren Boebert (U.S. House Website)
bonamici.house.gov,Suzanne Bonamici,Introduced the No Robot Bosses Act to prevent discriminatory AI hiring practices and require guardrails transparency and human oversight in employment decisions | Released a human-centered AI education and workforce framework calling for student protections privacy safeguards accountability and guardrails rather than deployment-first policy,Suzanne Bonamici (U.S. House Website)
booker.senate.gov,Cory Booker,Co-lead of Algorithmic Accountability Act (2023 and 2025 versions): requires companies to conduct impact assessments on AI systems making high-stakes decisions in housing/employment/education/credit; creates FTC public database; adds 75 FTC staff for enforcement,Cory Booker (U.S. Senate Website)
