change_id,table,key,action,reasoning,Model,field,value,D,Reasoning D,I,Reasoning I
1,evidence,1,mod,"The governor-page source supports an appointments announcement, not a generic launch claim, and the description should be shorter with a standardized source label.",Codex,Source_Description,Announced Arizona AI Steering Committee members (Governor Website),,,approved,
2,evidence,2,del,This is a duplicate mirror of the same AI Steering Committee members announcement already covered by a direct governor source.,Codex,,,,,approved,
3,evidence,3,del,This third-party coverage is duplicative and weaker than the direct governor source for the same AI Steering Committee announcement.,Codex,,,,,approved,
4,evidence,4,del,This media coverage is duplicative and weaker than the direct governor source for the same AI Steering Committee announcement.,Codex,,,,,approved,
5,evidence,491,mod,The current FindLaw link is a weaker indirect source; the governor's legislative action update is a direct official source for Hobbs signing SB1295.,Codex,Source_Description,Signed SB1295 on fraudulent voice recordings (Governor Website),,,approved,
5,evidence,491,mod,The current FindLaw link is a weaker indirect source; the governor's legislative action update is a direct official source for Hobbs signing SB1295.,Codex,URL,https://azgovernor.gov/office-arizona-governor/news/2025/05/governor-katie-hobbs-legislative-action-update-3,,,approved,
6,evidence,492,mod,"The current Capitol Times URL is not a direct source for this signing claim. The governor's May 2, 2025 legislative action update directly shows Hobbs signed SB1462.",Codex,Source_Description,Signed SB1462 on computer-generated image disclosure (Governor Website),,,approved,
6,evidence,492,mod,"The current Capitol Times URL is not a direct source for this signing claim. The governor's May 2, 2025 legislative action update directly shows Hobbs signed SB1462.",Codex,URL,https://azgovernor.gov/office-arizona-governor/news/2025/05/governor-katie-hobbs-legislative-action-update,,,approved,
7,evidence,493,mod,"The current Courthouse News link is weaker than the enacted Arizona law page, which directly states the disclosure requirement, civil penalty, and gubernatorial approval date for SB1359.",Codex,Source_Description,Approved SB1359 requiring election deepfake disclosures (AZ Legislature),,,,
7,evidence,493,mod,"The current Courthouse News link is weaker than the enacted Arizona law page, which directly states the disclosure requirement, civil penalty, and gubernatorial approval date for SB1359.",Codex,URL,https://www.azleg.gov/legtext/56leg/2r/laws/0199.htm,,,,
8,evidence,494,del,This StateScoop article is weaker than the direct governor press release covering the ACE Initiative and AI adoption in government.,Codex,,,,,,
9,evidence,495,mod,The official ACE Initiative press release should use a shorter claim-focused description with a standardized official source label.,Codex,Source_Description,Launched ACE Initiative to adopt AI in government (Governor Website),,,approved,
10,evidence,496,del,This signing update is redundant once SB1359 is covered by the more specific enacted-law source that directly states the AI deepfake disclosure requirement and approval date.,Codex,,,,,approved,
11,evidence,,add,"This is an additional direct governor source showing Hobbs publicly created the AI Steering Committee months before the member appointments announcement, reinforcing her AI-governance record.",Codex,Candidate_Key,Arizona|Governor|Katie Hobbs,,,,
11,evidence,,add,"This is an additional direct governor source showing Hobbs publicly created the AI Steering Committee months before the member appointments announcement, reinforcing her AI-governance record.",Codex,Source_Description,Announced creation of AI Steering Committee (Governor Website),,,,
11,evidence,,add,"This is an additional direct governor source showing Hobbs publicly created the AI Steering Committee months before the member appointments announcement, reinforcing her AI-governance record.",Codex,URL,https://azgovernor.gov/office-arizona-governor/news/2024/11/governor-katie-hobbs-encourages-next-generation-technology-and,,,,
12,evidence,17,mod,"The CalMatters voter guide still supports an AI-specific claim, but the current description is too long and should be shortened to the required claim-focused format.",Codex,Source_Description,Called for meaningful AI regulation (CalMatters),,,denied,no mention of AI in voter guide.
13,evidence,18,del,"The current campaign website is live but does not contain AI-specific content. Stronger direct AI-related evidence exists, so this identity-only row is no longer needed.",Codex,,,,,approved,
14,evidence,499,del,"The Newsweek article confirms a viral AI deepfake targeting Porter, but it does not support the current description's claims that her campaign condemned the video or that it reinforced her AI accountability calls. Better direct AI-policy evidence is being added in the same batch.",Codex,,,,,approved,
15,evidence,,add,This is a direct official source showing Porter backed federal AI guardrails via the AI Bill of Rights.,Codex,Candidate_Key,California|Governor|Katie Porter,,,approved,
